date,refugees
2022-02-24,79982
2022-02-25,180950
2022-02-26,324059
2022-02-27,491603
2022-02-28,653356
2022-03-01,819228
2022-03-02,989500
2022-03-03,1173321
2022-03-04,1343402
2022-03-05,1540168
2022-03-06,1742688
2022-03-07,1948181
2022-03-08,2130351
2022-03-09,2298833
2022-03-10,2431450
2022-03-11,2550041
2022-03-12,2664171
2022-03-13,2788814
2022-03-14,2899770
2022-03-15,3007348
2022-03-16,3108615
2022-03-17,3192641
2022-03-18,3271682
2022-03-19,3344825
2022-03-20,3404588
2022-03-21,3463658
2022-03-22,3528369
2022-03-23,3590977
2022-03-24,3658174
2022-03-25,3720662
2022-03-26,3781632
2022-03-27,3838235
2022-03-28,3886797
2022-03-29,3929593
2022-03-30,3981534
2022-03-31,4035153
2022-04-01,4083796
2022-04-02,4134787
2022-04-03,4184651
2022-04-04,4229892
2022-04-05,4279617
2022-04-06,4335320
2022-04-07,4391316
2022-04-08,4450848
2022-04-09,4513521
2022-04-10,4570545
2022-04-11,4624830
2022-04-12,4680556
2022-04-13,4737046
2022-04-14,4796245
2022-04-15,4850985
2022-04-16,4896662
2022-04-17,4935675
2022-04-18,4980853
2022-04-19,5035035
2022-04-20,5085747
2022-04-21,5133931
2022-04-22,5163870
2022-04-23,5186744
